idp;a;veget5
514584 ;5;M
514584 ;8;M
514612 ;5;M
514612 ;8;M
514612 ;12;M
514612 ;16;M
514612 ;19;M
514612 ;25;M
514612 ;26;M
514640 ;3;M
514644 ;3;M
514654 ;1;M
514693 ;8;A
514717 ;2;M
514744 ;9;M
514768 ;3;M
514768 ;6;A
514817 ;6;M
514817 ;8;M
514817 ;9;M
514817 ;21;M
514817 ;22;M
514817 ;23;M
514817 ;25;M
514817 ;31;M
514817 ;32;M
514824 ;1;6
514824 ;8;6
514824 ;12;6
514824 ;15;6
514824 ;16;6
514824 ;17;6
514830 ;3;N
514921 ;9;6
514991 ;11;M
514991 ;12;N
515000 ;5;A
515031 ;11;M
515031 ;19;A
515031 ;20;A
515061 ;4;M
515063 ;3;M
515063 ;4;M
515063 ;5;M
515097 ;9;M
515097 ;18;M
515118 ;9;A
515118 ;12;M
515118 ;13;M
515134 ;1;M
515134 ;4;M
515134 ;9;M
515149 ;19;M
515242 ;5;M
515242 ;6;M
515242 ;11;M
515242 ;13;M
515250 ;2;M
515250 ;13;A
515253 ;11;M
515307 ;1;6
515307 ;12;6
515347 ;5;N
515347 ;16;N
515366 ;14;A
515432 ;2;M
515561 ;1;M
515561 ;2;M
515589 ;9;M
515589 ;24;M
515612 ;7;M
515618 ;5;M
515638 ;1;M
515638 ;3;M
515638 ;25;M
515696 ;4;M
515696 ;5;M
515696 ;8;M
515696 ;9;M
515729 ;5;N
515729 ;10;M
515793 ;10;M
515793 ;29;M
515795 ;17;M
515822 ;2;M
515822 ;3;M
515928 ;1;N
515928 ;2;N
515928 ;19;N
515928 ;22;N
515928 ;24;N
516050 ;9;N
516056 ;8;M
516056 ;14;M
516058 ;9;M
516058 ;10;M
516058 ;11;M
516089 ;1;N
516089 ;2;N
516089 ;3;N
516089 ;4;N
516118 ;7;6
516175 ;7;M
516175 ;18;M
516175 ;25;M
516220 ;1;M
516227 ;3;A
516227 ;8;A
516246 ;2;M
516246 ;4;M
516246 ;6;M
516246 ;10;M
516246 ;27;N
516256 ;9;6
516256 ;12;6
516256 ;20;6
516256 ;21;6
516256 ;29;6
516256 ;31;6
516256 ;32;6
516256 ;33;6
516256 ;34;6
516274 ;1;M
516274 ;2;M
516274 ;3;M
516274 ;5;M
516274 ;6;M
516274 ;14;M
516283 ;4;M
516283 ;10;M
516283 ;13;N
516283 ;20;M
516283 ;22;M
516289 ;7;M
516310 ;13;M
516310 ;21;M
516316 ;9;A
516316 ;12;M
516430 ;2;6
516538 ;8;M
516538 ;12;M
516538 ;13;M
516538 ;16;N
516635 ;7;N
516687 ;5;M
516687 ;6;M
516687 ;8;M
516711 ;2;M
516765 ;5;M
516771 ;4;M
516780 ;16;M
516780 ;18;M
516780 ;23;A
516989 ;7;M
517104 ;7;M
517128 ;7;6
517152 ;4;6
517152 ;5;6
517152 ;7;6
517165 ;2;A
517165 ;4;M
517165 ;5;A
517212 ;2;M
517212 ;5;A
517212 ;6;M
517213 ;11;M
517213 ;17;M
517275 ;3;6
517275 ;4;6
517275 ;7;6
517275 ;8;6
517275 ;9;6
517275 ;10;6
517275 ;11;6
517282 ;9;M
517291 ;7;M
517414 ;3;6
517414 ;14;6
517500 ;10;6
517500 ;11;6
517500 ;12;6
517500 ;13;6
517500 ;17;M
517501 ;6;M
517501 ;7;M
517501 ;8;M
517501 ;9;M
517501 ;10;M
517514 ;2;6
517514 ;3;6
517596 ;7;M
517604 ;4;M
517604 ;5;M
517629 ;7;M
517629 ;10;M
517629 ;11;M
517650 ;7;M
517651 ;4;M
517651 ;8;6
517682 ;6;6
517682 ;7;6
517682 ;9;6
517682 ;17;6
517708 ;2;M
517746 ;4;M
517746 ;8;M
517746 ;13;M
517746 ;19;M
517746 ;22;M
517852 ;3;M
517852 ;4;M
517852 ;10;M
517882 ;16;M
517886 ;8;A
517886 ;17;M
517886 ;19;M
517886 ;26;M
517886 ;27;M
517886 ;30;M
517899 ;9;A
517934 ;1;N
517945 ;1;M
517945 ;6;M
517945 ;11;M
517976 ;16;N
517976 ;20;M
517981 ;1;M
517981 ;4;A
517981 ;6;A
517981 ;7;A
517981 ;8;A
517981 ;9;A
517981 ;11;A
517981 ;12;A
517981 ;13;A
517981 ;14;A
517981 ;18;A
517981 ;20;M
517981 ;26;A
517981 ;27;A
517981 ;28;A
518017 ;18;M
518027 ;24;M
518052 ;21;6
518060 ;9;M
518060 ;13;M
518060 ;14;M
518061 ;9;M
518061 ;11;M
518086 ;1;6
518086 ;2;6
518086 ;4;6
518086 ;5;6
518086 ;6;6
518086 ;7;6
518086 ;8;6
518086 ;9;6
518086 ;10;6
518148 ;1;M
518300 ;9;M
518313 ;1;M
518313 ;2;M
518313 ;6;M
518313 ;9;M
518318 ;6;M
518318 ;18;M
518318 ;19;M
518318 ;21;M
518318 ;22;M
518325 ;6;A
518327 ;3;M
518415 ;5;N
518421 ;2;M
518421 ;13;M
518421 ;17;M
518519 ;4;M
518535 ;8;M
518602 ;5;N
518602 ;7;M
518602 ;11;M
518628 ;10;M
518628 ;11;M
518628 ;12;M
518628 ;13;M
518628 ;14;M
518730 ;11;6
518730 ;19;6
518776 ;1;M
518776 ;7;M
