idp;a;veget5
709487 ;5;M
709502 ;12;M
709524 ;11;M
709524 ;13;M
709526 ;11;M
709605 ;7;M
709633 ;1;6
709642 ;10;N
709642 ;13;N
709642 ;15;N
709643 ;3;M
709643 ;7;M
709643 ;10;M
709661 ;11;N
709670 ;1;6
709693 ;4;T
709693 ;6;M
709693 ;10;A
709693 ;14;A
709693 ;15;A
709693 ;16;A
709698 ;4;M
709698 ;6;M
709724 ;13;M
709724 ;14;T
709724 ;15;T
709775 ;27;M
709775 ;28;M
709775 ;30;M
709778 ;7;M
709778 ;9;M
709790 ;4;M
709875 ;6;M
709928 ;3;M
709928 ;16;M
709962 ;6;A
709962 ;7;A
709962 ;8;A
709968 ;6;M
709968 ;7;A
709968 ;12;M
709968 ;13;M
709968 ;18;M
709976 ;5;M
709976 ;6;M
709976 ;21;M
709997 ;2;N
710029 ;4;N
710029 ;9;M
710050 ;4;M
710050 ;8;M
710091 ;11;M
710091 ;15;M
710105 ;17;M
710229 ;4;M
710229 ;7;M
710229 ;15;M
710258 ;11;M
710258 ;12;M
710285 ;3;M
710285 ;4;M
710285 ;6;M
710285 ;11;M
710388 ;6;M
710388 ;24;M
710485 ;7;M
710485 ;13;M
710485 ;15;M
710485 ;24;M
710495 ;11;M
710495 ;12;M
710504 ;12;A
710504 ;13;A
710504 ;14;A
710531 ;11;A
710546 ;1;M
710600 ;1;M
710616 ;11;M
710616 ;13;M
710616 ;20;A
710655 ;15;M
710655 ;18;M
710689 ;21;M
710736 ;2;M
710744 ;3;A
710767 ;3;M
710767 ;7;M
710767 ;14;M
710772 ;1;N
710816 ;17;M
710816 ;18;M
710831 ;8;M
710831 ;20;M
710939 ;1;A
710939 ;8;M
710939 ;9;M
710939 ;10;M
710939 ;11;M
710939 ;12;M
710939 ;17;A
710939 ;20;M
711053 ;9;A
711053 ;13;A
711061 ;2;6
711061 ;7;A
711061 ;11;A
711061 ;16;6
711078 ;1;A
711078 ;4;A
711078 ;20;M
711080 ;5;M
711119 ;3;N
711122 ;1;N
711122 ;2;M
711122 ;8;A
711122 ;9;A
711126 ;4;M
711139 ;1;A
711139 ;3;A
711191 ;5;M
711191 ;7;M
711191 ;9;M
711225 ;16;M
711251 ;6;M
711251 ;7;M
711260 ;13;6
711313 ;5;A
711313 ;6;A
711313 ;7;A
711313 ;9;A
711313 ;10;A
711313 ;12;M
711313 ;14;M
711313 ;15;M
711313 ;16;M
711366 ;5;A
711366 ;8;A
711389 ;4;M
711389 ;5;M
711421 ;7;M
711421 ;8;M
711421 ;9;M
711423 ;3;A
711434 ;5;6
711495 ;5;A
711527 ;14;M
711531 ;1;M
711531 ;2;A
711534 ;5;N
711576 ;14;6
711712 ;2;N
711712 ;10;N
711714 ;3;M
711725 ;13;M
711725 ;16;M
711750 ;1;A
711824 ;7;M
711875 ;17;M
711886 ;4;A
711886 ;6;A
711886 ;7;A
711896 ;4;M
711916 ;1;M
711923 ;5;M
711937 ;6;M
711937 ;8;A
712049 ;2;6
712049 ;3;6
712049 ;11;6
712049 ;16;6
712049 ;22;6
712065 ;2;M
712065 ;4;M
712065 ;6;M
712065 ;7;M
712065 ;22;M
712065 ;33;A
712081 ;22;M
712098 ;16;M
712098 ;19;A
712106 ;1;6
712106 ;13;6
712108 ;1;M
712108 ;6;M
712108 ;7;M
712108 ;8;M
712108 ;9;M
712108 ;10;M
712116 ;2;A
712116 ;20;A
712116 ;21;A
712116 ;23;6
712191 ;1;M
712191 ;2;M
712191 ;3;M
712191 ;5;M
712191 ;6;M
712191 ;7;M
712191 ;8;M
712191 ;9;M
712209 ;1;M
712209 ;2;M
712209 ;6;M
712227 ;3;A
712299 ;1;M
712299 ;7;M
712299 ;28;M
712314 ;6;6
712314 ;22;6
712314 ;26;6
712314 ;28;6
712334 ;1;M
712334 ;2;A
712334 ;3;M
712334 ;4;M
712334 ;5;M
712334 ;6;M
712363 ;3;M
712363 ;5;M
712363 ;17;M
712363 ;18;M
712423 ;6;M
712479 ;6;M
712559 ;7;M
712582 ;1;M
712582 ;16;M
712582 ;17;M
712586 ;13;M
712616 ;3;A
712658 ;8;A
712658 ;19;M
712666 ;3;M
712666 ;11;M
712719 ;1;M
712740 ;1;A
712740 ;2;A
712760 ;2;M
712760 ;5;M
712760 ;6;M
712760 ;8;M
712760 ;10;M
712760 ;12;M
712760 ;17;M
712760 ;19;M
712760 ;20;M
712760 ;21;M
712760 ;25;M
712760 ;28;M
712760 ;36;M
712760 ;37;M
712760 ;39;M
712760 ;40;M
712760 ;41;M
712760 ;42;M
712760 ;43;M
712760 ;48;M
712760 ;49;M
712760 ;52;M
712760 ;53;M
712830 ;14;M
712830 ;20;M
712886 ;8;M
712916 ;11;M
712980 ;11;M
712980 ;22;A
713058 ;4;M
713058 ;17;M
713059 ;12;M
713059 ;13;6
713068 ;2;M
713068 ;3;M
713068 ;4;M
713068 ;5;M
713068 ;8;M
713068 ;15;M
713076 ;2;M
713107 ;1;M
713144 ;5;M
713144 ;6;M
713144 ;12;T
713150 ;5;M
713150 ;12;M
713150 ;13;M
713211 ;13;M
713211 ;14;M
713223 ;4;M
713223 ;19;M
713223 ;21;M
713223 ;22;M
713293 ;7;M
713293 ;12;M
713293 ;14;M
713293 ;16;M
713293 ;19;M
713308 ;2;M
713325 ;2;M
713325 ;9;M
713325 ;10;M
713325 ;11;M
713325 ;12;M
713325 ;14;M
713325 ;15;M
713325 ;17;M
713325 ;19;M
713325 ;21;M
713341 ;5;A
713341 ;13;M
713356 ;3;A
713387 ;1;M
713387 ;4;M
713387 ;5;A
713397 ;14;M
713481 ;17;M
713502 ;6;T
713502 ;8;T
713502 ;9;T
713502 ;15;6
713502 ;17;6
713502 ;27;T
713502 ;29;M
713514 ;12;T
713532 ;6;M
713532 ;8;M
713564 ;2;M
713590 ;3;M
713590 ;8;A
713590 ;10;M
713661 ;5;N
713661 ;10;A
713704 ;1;M
713704 ;5;M
713704 ;13;M
713704 ;15;M
713704 ;16;M
713704 ;17;M
713704 ;19;M
713704 ;20;M
713704 ;25;M
713704 ;26;M
713704 ;27;M
713715 ;1;A
713715 ;5;M
713715 ;14;M
713763 ;9;N
713763 ;17;N
713793 ;7;M
713793 ;11;N
713817 ;2;M
713850 ;9;6
713861 ;11;M
713872 ;1;A
713872 ;24;M
713884 ;12;M
713960 ;2;N
713992 ;4;M
714008 ;15;M
714016 ;11;M
714054 ;6;A
714054 ;19;M
714082 ;2;M
714082 ;3;M
714082 ;4;M
714082 ;6;M
714181 ;10;M
714181 ;23;M
714193 ;10;M
714193 ;11;M
714193 ;16;M
714193 ;19;M
714195 ;6;M
714208 ;3;A
714208 ;15;M
714208 ;16;M
714215 ;16;M
714215 ;25;M
714224 ;12;M
714321 ;13;M
714321 ;15;M
714321 ;16;M
714322 ;7;M
714322 ;15;M
714322 ;16;M
714340 ;16;M
714366 ;25;M
714366 ;29;M
714387 ;6;A
714387 ;8;A
714387 ;9;M
714410 ;18;M
714502 ;13;T
714562 ;21;M
714571 ;2;6
714622 ;9;M
714647 ;6;M
714668 ;14;M
714668 ;21;M
714670 ;2;M
714670 ;15;M
714670 ;16;M
714670 ;17;M
714670 ;18;M
714670 ;19;M
714670 ;23;M
714689 ;17;M
714689 ;33;M
714702 ;11;6
714748 ;3;N
714748 ;4;N
714754 ;25;M
714810 ;11;M
714810 ;12;M
714810 ;14;M
714894 ;2;N
714921 ;1;M
714921 ;2;M
714921 ;3;M
714921 ;8;M
714921 ;9;M
714921 ;10;M
714926 ;3;A
714926 ;7;M
714926 ;8;M
714959 ;8;N
714961 ;6;6
714973 ;4;M
715009 ;10;M
715009 ;15;M
715022 ;15;M
715022 ;21;T
715046 ;1;A
715046 ;3;M
715046 ;9;M
715132 ;5;A
715132 ;12;M
715144 ;2;M
715144 ;4;M
715144 ;5;M
715144 ;9;A
715146 ;1;M
715146 ;2;M
715147 ;14;M
715147 ;15;M
715241 ;8;M
715241 ;12;M
715246 ;7;T
715259 ;1;M
715276 ;10;M
715282 ;2;T
715282 ;7;M
715287 ;8;M
715287 ;21;M
715331 ;2;M
715331 ;5;M
715347 ;1;M
715347 ;4;M
715347 ;5;M
715347 ;10;M
715347 ;12;M
715347 ;13;M
715347 ;16;6
715347 ;17;6
715347 ;19;6
715347 ;20;6
715347 ;21;6
715347 ;22;6
715347 ;23;M
715347 ;24;M
715347 ;26;M
715347 ;27;M
715347 ;29;M
715347 ;31;M
715347 ;32;M
715347 ;33;M
715405 ;9;M
715405 ;12;M
715405 ;13;M
715405 ;14;M
715405 ;17;M
715443 ;12;M
715472 ;10;N
715472 ;15;N
715491 ;2;M
715491 ;3;M
715491 ;4;M
715491 ;5;M
715491 ;6;M
715491 ;7;M
715491 ;8;M
715491 ;9;M
715491 ;10;M
715491 ;11;M
715491 ;12;M
715491 ;13;M
715528 ;7;M
715532 ;17;M
715532 ;23;M
715532 ;27;M
715566 ;1;M
715566 ;2;M
715566 ;7;M
715571 ;4;T
715571 ;7;N
715602 ;4;M
715602 ;6;M
715605 ;3;M
715609 ;5;M
715647 ;6;M
715699 ;8;A
715761 ;11;A
715816 ;8;A
715820 ;12;N
715825 ;3;A
715825 ;5;M
715826 ;3;M
715826 ;12;M
715826 ;19;M
715826 ;21;M
715826 ;25;M
715893 ;2;M
715893 ;12;M
715964 ;2;6
715964 ;10;6
715976 ;13;M
715976 ;18;M
716035 ;8;A
716035 ;9;M
716035 ;14;M
716074 ;14;M
716082 ;2;M
716082 ;4;M
716082 ;12;M
716082 ;15;M
716155 ;5;A
716155 ;17;M
716182 ;3;M
716182 ;5;T
716182 ;6;T
716200 ;1;N
716200 ;3;M
716200 ;4;N
716210 ;1;6
716210 ;2;6
716266 ;9;A
716302 ;4;M
716302 ;8;M
716302 ;17;M
716309 ;9;6
716309 ;11;6
716445 ;5;M
716469 ;1;6
716469 ;5;6
716580 ;2;6
716611 ;11;A
716611 ;12;A
716722 ;3;M
716722 ;4;M
716780 ;1;A
716788 ;19;M
716830 ;9;M
716830 ;14;M
716830 ;16;M
716830 ;18;M
716830 ;22;M
716860 ;3;M
716870 ;6;M
716870 ;24;M
716899 ;9;M
716965 ;4;M
716965 ;11;M
716965 ;15;M
716992 ;5;6
716992 ;14;6
717013 ;7;A
717013 ;8;A
717013 ;9;A
717013 ;16;M
717013 ;18;T
717013 ;24;M
717020 ;4;N
717020 ;6;M
717034 ;5;6
717071 ;1;7
717072 ;17;M
717084 ;6;M
717084 ;15;A
717084 ;18;M
717084 ;21;M
717097 ;6;M
717162 ;7;M
717166 ;9;T
717166 ;11;T
717166 ;19;T
717170 ;1;6
717170 ;2;6
717170 ;3;6
717170 ;6;6
717170 ;7;6
717170 ;8;6
717170 ;9;6
717170 ;10;6
717170 ;11;6
717170 ;12;6
717170 ;14;6
717170 ;16;6
717170 ;18;6
717170 ;19;6
717170 ;32;6
717180 ;1;M
717180 ;12;M
717180 ;16;T
717236 ;6;A
717285 ;11;M
717385 ;3;M
717395 ;11;M
717395 ;12;M
717422 ;1;N
717465 ;12;M
717465 ;21;M
717477 ;3;A
717477 ;4;M
717491 ;8;M
717491 ;9;A
717504 ;6;M
717516 ;5;T
717613 ;2;A
717657 ;2;M
717657 ;3;M
717657 ;6;M
717657 ;8;M
717657 ;9;M
717681 ;4;M
717681 ;6;N
717681 ;7;N
717773 ;9;M
717773 ;16;M
717785 ;2;6
717785 ;4;6
717785 ;5;6
717785 ;8;6
717785 ;9;6
717803 ;5;M
717803 ;6;A
717861 ;3;6
717961 ;7;M
717961 ;9;M
717972 ;10;M
718087 ;2;N
718087 ;5;N
718096 ;4;M
718096 ;10;M
718096 ;14;A
718096 ;17;A
718096 ;19;A
718102 ;6;A
718137 ;13;A
718177 ;6;N
718219 ;14;M
718233 ;2;M
718287 ;6;M
718287 ;16;M
718287 ;18;M
718296 ;16;M
718342 ;1;M
718342 ;7;M
718410 ;8;M
718424 ;7;M
718446 ;6;M
718450 ;6;M
718450 ;13;M
718450 ;17;M
718450 ;19;M
718526 ;11;A
718547 ;7;M
718615 ;6;T
718624 ;4;M
718634 ;19;M
718634 ;22;M
718634 ;29;M
718634 ;32;M
718634 ;33;M
718703 ;3;M
718703 ;6;M
718757 ;2;M
718757 ;3;M
718757 ;4;M
718757 ;5;M
718757 ;6;M
718757 ;7;M
718757 ;10;M
718757 ;13;M
718757 ;26;M
718757 ;27;M
718757 ;29;M
718757 ;30;M
718788 ;5;M
718788 ;6;M
718832 ;2;A
718832 ;4;T
718832 ;5;M
718832 ;6;M
718848 ;12;N
718879 ;4;M
718879 ;14;N
718940 ;5;M
718940 ;6;M
718940 ;8;M
718940 ;12;M
718952 ;24;M
718952 ;26;M
718961 ;19;T
718963 ;1;M
718963 ;3;M
718963 ;8;M
718963 ;18;M
718980 ;8;M
719025 ;5;M
719041 ;12;M
719041 ;18;M
719158 ;19;A
719255 ;9;M
719255 ;10;M
719255 ;11;M
719275 ;5;M
719341 ;6;M
719381 ;4;M
719384 ;10;T
719384 ;11;M
719384 ;12;M
719466 ;2;T
719466 ;4;T
719466 ;5;T
719540 ;1;A
719540 ;2;A
719540 ;3;A
719540 ;13;A
719540 ;14;A
719627 ;6;M
719627 ;11;M
719675 ;3;N
719723 ;4;M
719723 ;14;M
719725 ;1;A
719730 ;4;A
719750 ;2;M
719750 ;3;M
719750 ;4;M
719750 ;5;M
719750 ;6;M
719753 ;10;M
719767 ;2;M
719767 ;8;M
719791 ;4;M
719791 ;8;M
719791 ;14;M
719791 ;18;M
719806 ;14;A
719809 ;3;A
719809 ;12;M
719809 ;13;M
719837 ;11;M
719837 ;13;M
719844 ;6;M
719863 ;7;M
719892 ;8;A
719892 ;15;A
719916 ;7;M
719946 ;25;M
719946 ;26;M
719946 ;27;M
719957 ;14;6
719968 ;7;A
719968 ;8;A
719999 ;2;M
720178 ;5;M
720178 ;7;M
720178 ;10;M
720265 ;5;M
720338 ;3;M
720359 ;2;M
720378 ;2;M
720396 ;3;N
720397 ;10;M
720410 ;1;M
720410 ;2;M
720410 ;3;M
720410 ;4;M
720410 ;5;M
720410 ;6;M
720410 ;7;M
720410 ;8;M
720410 ;10;M
720410 ;11;M
720410 ;12;M
720410 ;13;M
720410 ;15;M
720410 ;16;M
720410 ;17;M
720410 ;18;M
720410 ;19;M
720519 ;13;M
720529 ;6;M
720633 ;16;M
720633 ;19;M
720700 ;1;A
720848 ;3;M
720850 ;2;M
720877 ;1;6
720877 ;2;6
720877 ;6;6
720877 ;15;6
720936 ;2;N
720936 ;3;N
720968 ;2;M
720968 ;9;A
720968 ;12;M
720968 ;13;M
720970 ;9;A
720970 ;12;M
720973 ;3;6
720973 ;11;6
720973 ;12;6
720973 ;18;6
721042 ;8;M
721043 ;4;N
721043 ;9;M
721052 ;7;M
721052 ;14;A
721058 ;6;N
721097 ;6;M
721097 ;13;M
721097 ;14;M
721100 ;12;M
721104 ;4;M
721104 ;5;N
721105 ;5;A
721230 ;2;M
721303 ;15;6
721303 ;16;6
721303 ;17;6
721303 ;18;6
721303 ;19;6
721303 ;20;6
721303 ;21;6
721303 ;24;6
721517 ;10;M
721678 ;1;A
721678 ;2;M
721678 ;8;M
721678 ;9;M
721715 ;6;T
721715 ;7;T
721727 ;6;A
721727 ;9;M
721727 ;10;M
721834 ;4;M
721834 ;13;A
721834 ;14;A
721848 ;5;M
721848 ;15;A
721857 ;12;M
721886 ;9;M
722014 ;12;M
722096 ;17;M
722099 ;4;6
722124 ;1;M
722124 ;6;M
722124 ;10;M
722124 ;11;M
722238 ;5;A
722258 ;13;M
722270 ;4;M
722337 ;3;M
722337 ;16;M
722387 ;2;M
722387 ;10;M
722387 ;21;M
722387 ;23;M
722408 ;7;M
722459 ;7;A
722464 ;1;M
722464 ;2;N
722464 ;16;M
722464 ;19;M
722470 ;5;M
722474 ;6;M
722474 ;11;M
722474 ;12;M
722474 ;17;M
722474 ;29;A
722474 ;33;A
722478 ;8;M
722505 ;3;M
722522 ;8;M
722558 ;7;6
722587 ;5;M
722587 ;6;M
722600 ;5;M
722600 ;6;M
722600 ;8;M
722665 ;5;M
722665 ;6;M
722666 ;2;M
722666 ;7;A
722666 ;10;M
722666 ;13;M
722666 ;14;A
722666 ;16;N
722666 ;18;M
722666 ;23;A
722705 ;5;T
722724 ;10;M
722731 ;16;A
722732 ;11;M
722742 ;3;M
722742 ;5;M
722742 ;7;M
722742 ;8;M
722750 ;8;M
722758 ;7;A
722758 ;9;M
722758 ;12;M
722758 ;13;M
722803 ;4;M
722803 ;6;M
722803 ;15;A
722804 ;1;6
722804 ;2;6
722804 ;3;6
722804 ;4;6
722804 ;6;6
722804 ;8;6
722804 ;10;6
722804 ;12;6
722804 ;13;6
722804 ;15;6
722804 ;16;6
722804 ;20;6
722804 ;21;6
722831 ;3;M
722831 ;5;M
722831 ;9;M
722831 ;11;A
722832 ;4;M
722832 ;7;A
722832 ;8;M
722832 ;12;A
722859 ;5;M
722859 ;12;M
722859 ;16;M
722859 ;18;M
722860 ;1;M
722875 ;3;M
722886 ;2;M
722886 ;5;M
722897 ;4;M
722897 ;5;M
722897 ;6;M
722899 ;3;M
722899 ;6;M
722899 ;8;M
722899 ;9;M
722899 ;10;A
722899 ;13;A
722899 ;16;A
722899 ;17;A
722899 ;18;A
722899 ;19;A
722899 ;20;A
722899 ;21;A
722899 ;22;A
722899 ;23;A
722899 ;24;M
722899 ;25;A
722899 ;26;A
722899 ;27;A
722899 ;28;A
722899 ;29;M
722899 ;31;M
722899 ;32;M
722899 ;35;M
722899 ;37;M
722915 ;12;M
722917 ;5;M
722917 ;8;M
722917 ;9;M
722967 ;5;M
722967 ;17;M
722967 ;22;M
722974 ;6;M
722974 ;7;M
722974 ;11;M
722974 ;12;M
723047 ;19;M
723113 ;1;M
723113 ;13;6
723302 ;16;A
723313 ;10;A
723321 ;18;M
723357 ;6;M
723357 ;11;A
723357 ;12;A
723386 ;7;A
723421 ;2;M
723421 ;4;M
723421 ;5;M
723421 ;6;M
723433 ;3;M
723433 ;10;M
723447 ;5;A
723448 ;4;A
723453 ;1;A
723497 ;13;A
723497 ;14;A
723497 ;15;A
723497 ;16;A
723497 ;19;A
723497 ;20;A
723497 ;21;A
723547 ;10;M
723547 ;11;M
723547 ;17;M
723547 ;23;M
723547 ;31;M
723623 ;5;6
723623 ;8;6
723623 ;11;M
723655 ;2;M
723655 ;8;M
723657 ;9;M
723684 ;2;6
723684 ;3;6
723684 ;4;6
723684 ;12;6
723741 ;1;A
723741 ;7;M
723750 ;15;M
723750 ;16;M
723750 ;17;M
723750 ;18;M
723750 ;19;M
723806 ;2;M
723806 ;6;M
723806 ;10;M
723806 ;11;M
723913 ;1;M
723913 ;14;M
723913 ;15;M
723913 ;20;M
723924 ;3;M
723933 ;5;M
723933 ;12;M
723933 ;16;M
723933 ;21;M
723954 ;2;M
723954 ;3;M
723954 ;5;6
723954 ;10;M
723954 ;18;M
723954 ;19;M
723954 ;20;M
723954 ;23;6
723977 ;17;M
723980 ;2;6
723980 ;5;6
724042 ;9;T
724042 ;13;M
724042 ;14;M
724042 ;21;T
724042 ;22;T
724042 ;24;T
724042 ;25;T
724064 ;2;M
724064 ;4;M
724064 ;5;M
724064 ;6;M
724105 ;8;M
724105 ;21;M
724114 ;3;M
724118 ;10;M
724118 ;11;M
724155 ;14;M
724166 ;2;T
724167 ;2;M
724167 ;15;M
724221 ;7;M
724221 ;8;M
724221 ;10;M
724221 ;11;M
724221 ;14;M
724221 ;22;M
724221 ;27;M
724221 ;28;M
724221 ;34;M
724252 ;10;M
724252 ;14;T
724283 ;7;M
724319 ;2;M
724319 ;6;M
724336 ;6;M
724455 ;4;M
724455 ;7;M
724465 ;1;M
724465 ;4;M
724465 ;15;M
724465 ;16;M
724490 ;2;N
724490 ;9;M
724510 ;6;M
724510 ;9;M
724510 ;10;M
724510 ;11;M
724510 ;13;M
724510 ;15;M
724567 ;3;A
724567 ;4;A
724666 ;8;A
724666 ;9;A
724666 ;10;A
724666 ;14;A
724666 ;15;A
724666 ;16;A
724666 ;18;A
724666 ;19;A
724666 ;20;A
724666 ;21;A
724675 ;2;M
724675 ;3;M
724675 ;4;M
724675 ;8;M
724692 ;1;A
724692 ;4;A
724692 ;6;M
724692 ;7;M
724692 ;8;A
724692 ;13;M
724709 ;11;M
724777 ;14;6
724777 ;15;6
724856 ;4;6
724856 ;10;6
724864 ;4;M
724867 ;25;6
724877 ;7;M
724877 ;10;T
724929 ;5;M
725015 ;3;M
725046 ;3;M
725046 ;5;M
725046 ;9;M
725046 ;12;M
725046 ;15;M
725046 ;18;M
725046 ;19;M
725046 ;20;M
725046 ;21;M
725046 ;31;M
725046 ;32;M
725084 ;4;A
725098 ;1;M
725098 ;5;M
725098 ;7;A
725115 ;2;M
725115 ;3;M
725115 ;16;M
725115 ;17;M
725132 ;2;M
725138 ;1;M
725138 ;6;M
725138 ;17;M
725138 ;27;M
725189 ;16;M
725274 ;4;M
725274 ;5;M
725274 ;6;M
725274 ;7;M
725274 ;8;M
725274 ;9;M
725274 ;11;M
725274 ;13;M
725274 ;15;N
725274 ;17;N
725274 ;19;M
725274 ;21;M
725274 ;22;M
725274 ;23;M
725274 ;24;M
725274 ;26;M
725274 ;27;M
725274 ;28;M
725274 ;31;M
725274 ;32;M
725274 ;34;M
725288 ;7;T
725291 ;6;M
725291 ;13;M
725291 ;19;T
725291 ;20;M
725307 ;2;M
725307 ;5;M
725307 ;11;M
725307 ;15;M
725307 ;16;M
725307 ;22;M
725307 ;24;M
725307 ;26;M
725307 ;27;M
725318 ;5;M
725318 ;10;6
725329 ;16;M
725329 ;17;M
725358 ;5;M
725379 ;18;M
725379 ;20;M
725379 ;23;M
725379 ;25;M
725379 ;28;M
725380 ;7;M
725391 ;6;M
725391 ;9;M
725391 ;10;M
725391 ;11;M
725391 ;28;M
725391 ;30;M
725391 ;31;M
725391 ;33;M
725414 ;10;M
725414 ;12;M
725446 ;1;T
725451 ;7;A
725451 ;13;M
725451 ;15;M
725469 ;19;6
725491 ;12;M
725500 ;5;M
725526 ;5;N
725537 ;18;M
725537 ;22;M
725537 ;25;M
725571 ;14;M
725594 ;3;M
725606 ;5;M
725606 ;9;M
725632 ;4;M
725663 ;9;M
725714 ;1;M
725714 ;2;M
725714 ;4;M
725714 ;6;M
725714 ;8;M
725714 ;17;M
725714 ;18;M
725714 ;30;M
725714 ;31;M
725803 ;11;M
725838 ;6;M
725859 ;22;M
725859 ;25;M
725903 ;3;M
725903 ;9;M
725923 ;1;A
725923 ;2;A
725923 ;3;A
725923 ;5;M
725923 ;19;A
725945 ;11;T
725949 ;1;M
725979 ;6;M
725979 ;7;M
725979 ;12;M
725979 ;15;M
725979 ;19;M
725979 ;20;M
725979 ;21;M
725979 ;23;M
726009 ;13;M
726012 ;2;A
726012 ;13;M
726048 ;9;M
726050 ;3;6
726050 ;11;M
726172 ;1;A
726177 ;6;M
726177 ;13;M
726190 ;7;M
726190 ;8;M
726190 ;16;M
726190 ;23;M
726190 ;24;M
726211 ;12;6
726221 ;11;A
726257 ;6;N
726257 ;13;N
726257 ;14;N
726257 ;15;N
726257 ;16;N
726257 ;18;N
726264 ;8;M
726264 ;12;M
726301 ;7;M
726359 ;10;M
726419 ;7;M
726443 ;7;T
726443 ;10;T
726443 ;12;T
726443 ;16;M
726446 ;12;6
726515 ;8;M
726515 ;14;M
726515 ;17;M
726515 ;20;M
726535 ;1;A
726535 ;6;A
726535 ;11;M
726590 ;4;M
726664 ;7;M
726664 ;12;M
726664 ;17;A
726705 ;3;M
726705 ;5;6
726705 ;6;6
726724 ;1;M
726763 ;12;M
726764 ;20;A
726783 ;3;M
726783 ;9;M
726783 ;10;M
726824 ;18;M
726827 ;6;M
726862 ;1;M
726862 ;3;M
726862 ;4;M
726862 ;14;M
726862 ;18;M
726862 ;20;M
726862 ;23;M
726862 ;26;M
726862 ;29;M
726862 ;30;M
726862 ;33;M
726862 ;40;M
726862 ;43;M
726862 ;44;M
726880 ;6;6
726897 ;4;M
726924 ;15;M
726924 ;20;M
726931 ;4;M
726931 ;10;M
726987 ;13;M
727026 ;6;M
727043 ;17;M
727092 ;25;M
727099 ;5;M
727099 ;6;M
727172 ;7;M
727214 ;9;M
727214 ;10;M
727226 ;4;6
727226 ;11;M
727233 ;4;A
727251 ;4;M
727251 ;13;M
727251 ;26;M
727255 ;4;M
727255 ;9;M
727255 ;12;M
727255 ;14;M
727261 ;17;M
727261 ;22;M
727261 ;23;M
727261 ;27;M
727261 ;28;M
727280 ;29;M
727281 ;1;M
727281 ;4;N
727281 ;10;N
727326 ;14;M
727364 ;4;A
727364 ;11;M
727364 ;20;M
727389 ;9;M
727403 ;2;A
727416 ;22;N
727457 ;3;N
727457 ;4;N
727459 ;6;6
727459 ;26;M
727494 ;15;M
727498 ;6;M
727532 ;9;A
727546 ;3;6
727546 ;12;T
727546 ;13;T
727546 ;21;M
727546 ;22;M
727546 ;23;T
727546 ;24;T
727546 ;27;M
727558 ;6;N
727558 ;12;M
727558 ;22;M
727591 ;7;M
727591 ;11;M
727591 ;12;M
727591 ;13;M
727591 ;22;M
727629 ;9;N
727713 ;10;A
727716 ;7;M
727716 ;11;M
727751 ;11;M
727787 ;1;M
727801 ;13;M
727801 ;19;M
727802 ;4;M
727808 ;4;7
727808 ;13;7
727835 ;2;M
727835 ;8;T
727841 ;4;M
727856 ;9;M
727894 ;1;M
727907 ;6;M
727947 ;4;M
727952 ;6;M
727952 ;10;M
727977 ;2;M
727977 ;5;A
727980 ;2;T
727980 ;22;M
727992 ;4;M
728090 ;3;M
728090 ;8;T
728090 ;16;M
728090 ;17;M
728090 ;20;M
728090 ;24;M
728119 ;5;6
728189 ;10;M
728291 ;2;A
728291 ;6;M
728291 ;10;M
728303 ;9;M
728303 ;11;M
728303 ;12;M
728303 ;17;A
728411 ;3;M
728411 ;6;M
728417 ;6;M
728417 ;10;M
728417 ;11;M
728417 ;13;M
728451 ;9;M
728451 ;13;M
728455 ;3;T
728455 ;13;7
728455 ;14;7
728455 ;18;7
728457 ;11;N
728462 ;17;6
728479 ;1;T
728550 ;3;M
728550 ;4;M
728550 ;5;M
728695 ;3;6
728695 ;10;6
728719 ;4;M
728719 ;12;M
728719 ;13;M
728737 ;4;M
728737 ;8;M
728737 ;11;M
728763 ;10;M
728772 ;8;6
728856 ;3;M
728940 ;6;M
728965 ;6;M
728965 ;27;N
728996 ;2;M
728998 ;4;M
729007 ;2;6
729007 ;15;M
729007 ;28;M
729007 ;29;M
729007 ;30;6
729072 ;11;M
729112 ;3;M
729112 ;7;M
729112 ;9;M
729112 ;13;M
729112 ;14;M
729112 ;16;M
729112 ;29;M
729180 ;2;M
729180 ;3;M
729180 ;6;M
729180 ;7;M
729180 ;12;M
729180 ;16;M
729180 ;18;M
729212 ;5;M
729212 ;10;M
729212 ;14;M
729212 ;16;M
729226 ;3;A
729226 ;4;A
729253 ;5;N
729296 ;8;M
729296 ;10;M
729296 ;12;M
729296 ;14;A
729296 ;24;M
729301 ;4;6
729301 ;5;6
729301 ;6;6
729301 ;7;6
729301 ;8;6
729301 ;9;6
729301 ;10;6
729301 ;11;6
729301 ;13;6
729301 ;14;6
729315 ;1;M
729319 ;3;M
729331 ;15;M
729331 ;24;M
729331 ;27;T
729331 ;28;M
729331 ;32;M
729345 ;10;A
729350 ;14;M
729350 ;16;M
729390 ;1;M
729390 ;2;M
729390 ;3;M
729390 ;4;M
729390 ;5;M
729390 ;6;M
729420 ;7;6
729441 ;9;6
729467 ;7;M
729467 ;8;M
729496 ;19;T
729499 ;1;M
729507 ;4;6
729634 ;1;A
729634 ;4;A
729661 ;2;M
729715 ;10;M
729762 ;4;M
729762 ;6;M
729762 ;11;A
729762 ;16;M
729774 ;2;6
